hum_blatant,attention,attention_num,ft_in,ft_out,ft_diff,hum_blatant_in,hum_blatant_out,hum_subtle_in,hum_subtle_out,hum_subtle,authscale,party_strength,close,close_recode,Age,pid7,Gender,race,party_binary,scandal,scandal_out,pid,Republican
49,Some of the time,3,82,19,63,90,41,5.75,5.25,0.5,1,3,3,2,47,1,Male,White,Democrat,2.6,-1,Democrat,0
0,Most of the time,4,94,93,1,99,99,7,7,0,0.5,3,4,3,24,7,Male,White,Republican,3.4,1,Republican,1
38,Some of the time,3,60,54,6,99,61,6,3.5,2.5,0.75,3,3,2,49,1,Female,White,Democrat,3.8,-1,Democrat,0
14,Most of the time,4,81,11,70,87,73,5.5,3.75,1.75,0.25,3,4,3,59,1,Female,White,Democrat,4,-1,Democrat,0
NA,Most of the time,4,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,61,4,Female,White,NA,4,NA,Independent,0
100,Most of the time,4,93,0,93,100,0,4.75,1,3.75,1,3,3,2,57,1,Male,Black,Democrat,4,-1,Democrat,0
64,Some of the time,3,91,17,74,90,26,5.75,2.5,3.25,0.75,2,3,2,28,2,Female,White,Democrat,NA,NA,Democrat,0
-2,Only now and then,2,82,61,21,98,100,6,6,0,0.75,2,3,2,53,2,Female,White,Democrat,4.2,1,Democrat,0
14,Only now and then,2,73,27,46,73,59,2.75,3,-0.25,1,2,3,2,27,2,Female,White,Democrat,4,1,Democrat,0
97,Most of the time,4,100,6,94,100,3,3.25,2,1.25,0.75,3,4,3,47,1,Male,Black,Democrat,NA,NA,Democrat,0
85,Some of the time,3,75,4,71,97,12,4.25,3,1.25,0.25,3,3,2,19,1,Female,Other,Democrat,4.2,1,Democrat,0
69,Some of the time,3,100,2,98,100,31,4,1,3,0.25,3,4,3,28,1,Female,Other,Democrat,NA,NA,Democrat,0
89,Most of the time,4,98,12,86,100,11,5.25,4.5,0.75,0.5,3,4,3,53,1,Male,White,Democrat,3.8,-1,Democrat,0
NA,Hardly at all,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,30,4,Female,White,NA,4,NA,Other,0
1,Hardly at all,1,39,59,-20,40,39,1.5,3,-1.5,0.75,1,2,1,20,3,Female,White,Democrat,3,-1,Independent,0
57,Some of the time,3,99,25,74,100,43,4.75,4.75,0,1,3,2,1,56,1,Female,Black,Democrat,4,1,Democrat,0
51,Only now and then,2,61,9,52,72,21,2,1,1,0.5,2,3,2,50,6,Female,White,Republican,3.6,-1,Republican,1
24,Some of the time,3,73,16,57,83,59,4.5,3.25,1.25,1,3,3,2,39,1,Female,White,Democrat,3.4,-1,Democrat,0
37,Only now and then,2,89,16,73,85,48,6,6,0,0.75,2,2,1,46,2,Female,White,Democrat,3.8,1,Democrat,0
NA,Hardly at all,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,28,4,Female,White,NA,4,NA,Independent,0
12,Some of the time,3,88,83,5,91,79,4.75,4.25,0.5,1,3,3,2,45,1,Male,White,Democrat,3.8,1,Democrat,0
2,Only now and then,2,65,31,34,74,72,6,5.5,0.5,0.75,2,3,2,58,6,Female,White,Republican,NA,NA,Republican,1
-30,Most of the time,4,52,49,3,70,100,6.5,6.5,0,0.5,3,2,1,23,1,Male,White,Democrat,3,1,Democrat,0
49,Some of the time,3,75,24,51,71,22,3.75,3.25,0.5,0.5,2,2,1,19,2,Female,Black,Democrat,NA,NA,Democrat,0
NA,Hardly at all,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,24,4,Female,Black,NA,4.2,NA,Other,0
15,Some of the time,3,46,6,40,87,72,2.75,1.75,1,0.75,1,3,2,61,5,Male,White,Republican,3.8,1,Independent,1
70,Some of the time,3,49,0,49,80,10,4.5,4,0.5,0.5,2,2,1,44,6,Male,White,Republican,4,-1,Republican,1
0,Hardly at all,1,1,2,-1,81,81,2.5,2.5,0,0.5,2,2,1,41,2,Female,White,Democrat,NA,NA,Democrat,0
19,Some of the time,3,66,52,14,94,75,4.25,5.5,-1.25,0.5,1,3,2,28,3,Male,White,Democrat,3.2,-1,Independent,0
30,Most of the time,4,100,1,99,100,70,5.5,3.25,2.25,0.5,3,2,1,27,1,Male,White,Democrat,3.4,1,Democrat,0
1,Most of the time,4,95,82,13,95,94,6,6,0,0.75,3,4,3,32,7,Male,White,Republican,3.6,1,Republican,1
19,Most of the time,4,69,63,6,78,59,4.5,5,-0.5,NA,3,2,1,34,1,Female,White,Democrat,3.8,1,Democrat,0
NA,Hardly at all,1,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,41,4,Female,White,NA,4,NA,Other,0
47,Most of the time,4,78,4,74,73,26,3.75,1.75,2,1,2,3,2,62,2,Female,White,Democrat,3.8,-1,Democrat,0
9,Most of the time,4,91,2,89,99,90,5.25,5.5,-0.25,1,3,3,2,56,7,Female,White,Republican,3.8,1,Republican,1
52,Some of the time,3,81,4,77,81,29,5,4.25,0.75,0.75,1,3,2,57,5,Female,White,Republican,2.4,-1,Independent,1
37,Most of the time,4,100,49,51,100,63,4,4.5,-0.5,0.75,3,4,3,22,7,Male,Black,Republican,4,1,Republican,1
-23,Some of the time,3,32,84,-52,24,47,3.75,4.25,-0.5,0.25,1,3,2,NA,5,NA,NA,Republican,NA,NA,Independent,1
28,Some of the time,3,76,4,72,100,72,5.5,4.5,1,1,3,3,2,25,7,Female,White,Republican,3.4,1,Republican,1
37,Only now and then,2,49,7,42,46,9,3.75,2,1.75,1,2,2,1,54,2,Female,Black,Democrat,4,1,Democrat,0
0,Most of the time,4,89,23,66,87,87,5.5,2,3.5,0.5,3,4,3,36,7,Female,White,Republican,3.8,1,Republican,1
68,Only now and then,2,85,21,64,91,23,5,5,0,1,3,3,2,25,1,Male,White,Democrat,4,1,Democrat,0
42,Most of the time,4,86,10,76,56,14,4.25,2.5,1.75,0.75,2,4,3,63,6,Female,White,Republican,4.2,1,Republican,1
25,Some of the time,3,88,48,40,100,75,3.75,3,0.75,1,2,3,2,31,2,Female,White,Democrat,4,1,Democrat,0
0,Most of the time,4,29,8,21,100,100,3,4.25,-1.25,0.5,1,2,1,65,5,Male,White,Republican,3.6,-1,Independent,1
44,Some of the time,3,80,21,59,98,54,4.5,4.25,0.25,1,3,3,2,66,7,Female,White,Republican,2.8,1,Republican,1
14,Most of the time,4,80,34,46,92,78,7,7,0,0.75,3,3,2,39,1,Female,White,Democrat,NA,NA,Democrat,0
NA,Only now and then,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,44,4,Female,Black,NA,4,NA,Independent,0
89,Some of the time,3,89,92,-3,98,9,6.5,4.5,2,0,1,3,2,32,3,Female,White,Democrat,NA,NA,Independent,0
36,Most of the time,4,96,9,87,98,62,4,2.75,1.25,0.5,3,3,2,19,1,Female,White,Democrat,NA,NA,Democrat,0
41,Most of the time,4,71,15,56,81,40,3,2.75,0.25,0.25,1,2,1,59,3,Male,White,Democrat,2.8,-1,Other,0
71,Only now and then,2,68,3,65,81,10,4.75,3.75,1,1,2,3,2,19,2,Female,White,Democrat,2.4,1,Democrat,0
30,Some of the time,3,31,14,17,48,18,3.25,4.25,-1,0.25,2,3,2,25,2,Female,White,Democrat,4.2,-1,Democrat,0
34,Some of the time,3,80,35,45,88,54,4.75,4.5,0.25,0.5,3,3,2,28,1,Female,White,Democrat,3,-1,Democrat,0
64,Some of the time,3,70,42,28,95,31,6,4,2,0,2,3,2,34,2,Female,Asian,Democrat,4.4,1,Democrat,0
1,Some of the time,3,95,4,91,98,97,7,6.25,0.75,0,3,3,2,37,1,Female,White,Democrat,3.8,1,Democrat,0
NA,Only now and then,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,36,4,Male,White,NA,4,NA,Other,0
92,Some of the time,3,97,0,97,100,8,5.25,3.25,2,1,3,4,3,57,7,Female,White,Republican,NA,NA,Republican,1
-1,Only now and then,2,60,49,11,48,49,3.5,3.5,0,0.75,2,2,1,56,6,Female,White,Republican,4.6,1,Republican,1
9,Some of the time,3,95,84,11,95,86,6.25,6.5,-0.25,0.5,3,3,2,27,7,Female,White,Republican,3.4,1,Republican,1
98,Some of the time,3,100,3,97,100,2,4,3,1,0.75,3,4,3,44,7,Female,White,Republican,2.4,-1,Republican,1
98,Most of the time,4,81,0,81,98,0,7,7,0,0.75,3,4,3,33,1,Female,White,Democrat,4,1,Democrat,0
75,Most of the time,4,69,0,69,93,18,3.75,1,2.75,0.5,3,3,2,18,1,Female,Black,Democrat,4.2,-1,Democrat,0
19,Only now and then,2,74,8,66,96,77,4,3,1,0.5,1,2,1,36,5,Female,White,Republican,NA,NA,Independent,1
2,Most of the time,4,49,43,6,75,73,4.25,4,0.25,0.5,1,3,2,34,3,Female,White,Democrat,3.6,-1,Independent,0
57,Most of the time,4,80,21,59,83,26,3,3.75,-0.75,0.75,1,3,2,37,3,Male,Black,Democrat,3.4,1,Independent,0
39,Some of the time,3,75,19,56,80,41,4.25,3,1.25,1,3,3,2,27,7,Female,White,Republican,4.8,-1,Republican,1
NA,Only now and then,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,57,4,Male,White,NA,3.8,NA,Independent,0
NA,Some of the time,3,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,30,4,Female,White,NA,4.2,NA,Other,0
60,Most of the time,4,92,19,73,84,24,3,3,0,0.5,3,4,3,34,1,Female,Black,Democrat,2.6,1,Democrat,0
21,Some of the time,3,100,19,81,42,21,3.25,3.75,-0.5,NA,3,3,2,52,7,Female,White,Republican,4,1,Republican,1
7,Most of the time,4,17,26,-9,16,9,7,7,0,0.5,3,4,3,33,7,Male,White,Republican,3.4,-1,Republican,1
61,Most of the time,4,50,2,48,63,2,4.25,1,3.25,0.75,1,3,2,34,5,Female,White,Republican,2.4,1,Independent,1
41,Most of the time,4,71,16,55,69,28,3.5,2.75,0.75,0.25,3,3,2,26,7,Male,Asian,Republican,2.8,1,Republican,1
-21,Some of the time,3,84,52,32,56,77,5,4.75,0.25,0.25,2,3,2,37,6,Female,White,Republican,4,-1,Republican,1
NA,Hardly at all,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,27,4,Female,White,NA,NA,NA,Independent,0
20,Most of the time,4,92,52,40,93,73,7,7,0,0.5,2,3,2,57,2,Female,White,Democrat,3.4,1,Democrat,0
61,Most of the time,4,77,10,67,93,32,3.75,6,-2.25,0.5,3,4,3,27,1,Female,Black,Democrat,3.6,1,Democrat,0
73,Most of the time,4,86,31,55,93,20,4.75,3.5,1.25,0.75,3,4,3,31,7,Female,White,Republican,3.6,-1,Republican,1
100,Most of the time,4,100,0,100,100,0,4,4,0,0,3,4,3,27,1,Female,White,Democrat,NA,NA,Democrat,0
20,Most of the time,4,94,14,80,100,80,5.5,4.75,0.75,NA,3,4,3,50,1,Male,White,Democrat,3.6,1,Democrat,0
4,Most of the time,4,30,28,2,42,38,4,3.75,0.25,0.75,2,2,1,49,6,Female,Black,Republican,2.6,1,Republican,1
0,Most of the time,4,72,0,72,86,86,3.5,1.25,2.25,0.75,2,2,1,58,2,Male,White,Democrat,2.2,1,Democrat,0
12,Most of the time,4,84,72,12,99,87,4,3.75,0.25,1,2,3,2,49,2,Female,White,Democrat,3.8,-1,Democrat,0
43,Most of the time,4,70,31,39,72,29,3.75,4,-0.25,0.75,2,3,2,39,6,Female,White,Republican,3.8,1,Republican,1
61,Most of the time,4,52,1,51,62,1,4.5,2.25,2.25,0,1,3,2,32,3,Female,White,Democrat,4.2,-1,Independent,0
0,Some of the time,3,61,50,11,50,50,4,5,-1,0.5,2,3,2,23,6,Male,White,Republican,4,1,Republican,1
-11,Some of the time,3,59,50,9,60,71,4,4,0,0.5,1,2,1,62,3,Female,White,Democrat,2.4,-1,Independent,0
0,Some of the time,3,74,32,42,100,100,4.75,4.75,0,0,3,2,1,29,1,Female,White,Democrat,3.4,-1,Democrat,0
35,Most of the time,4,50,0,50,75,40,4,3,1,0.25,1,2,1,32,3,Male,White,Democrat,3,-1,Independent,0
20,Only now and then,2,73,40,33,70,50,3,1.5,1.5,0.5,3,3,2,24,1,Female,Black,Democrat,4,-1,Democrat,0
NA,Hardly at all,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,35,4,Male,White,NA,4,NA,Other,0
21,Most of the time,4,81,67,14,91,70,6,5.25,0.75,1,2,3,2,52,2,Male,White,Democrat,3.6,-1,Democrat,0
23,Most of the time,4,72,8,64,53,30,4.25,4,0.25,0.5,1,3,2,53,3,Male,White,Democrat,2.4,1,Independent,0
51,Some of the time,3,74,16,58,76,25,2.75,3.75,-1,1,2,2,1,46,6,Female,White,Republican,3.8,-1,Republican,1
NA,Some of the time,3,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,56,4,Female,White,NA,NA,NA,Independent,0
0,Most of the time,4,41,3,38,100,100,7,7,0,0.5,3,2,1,65,1,Female,White,Democrat,2.8,1,Democrat,0
29,Some of the time,3,78,54,24,78,49,4.75,3.75,1,0.25,3,3,2,18,7,Female,Black,Republican,NA,NA,Republican,1
42,Some of the time,3,100,0,100,100,58,6,2,4,1,3,4,3,46,1,Female,Black,Democrat,3.6,-1,Democrat,0
